ts_unix_ns,phase,kol_name,visibility,token_address,token_symbol,bnb_in_wei,gas_gwei,nonce,tx_hash,wallet_bnb,broadcast,limit_skip_reason
1780917347116373352,full,D,public,0xafb1921fdc94889d960e99ec7abaae948f847777,,33353130506418400,0,0,0x0000000000000000000000000000000000000000000000000000000000000000,0.088324,false,unknown_venue
1780917347560710056,full,D,public,0xafb1921fdc94889d960e99ec7abaae948f847777,,33353130506418400,0,0,0x0000000000000000000000000000000000000000000000000000000000000000,0.088324,false,unknown_venue
1780917350705535432,full,D,public,0xafb1921fdc94889d960e99ec7abaae948f847777,,33353130506418400,0,0,0x0000000000000000000000000000000000000000000000000000000000000000,0.088324,false,unknown_venue
1780917408573568425,full,D,public,0x28c86673956d6236bf0ddaffaf0b41d345f57777,,33385349432101848,10,467,0x951af14f4ba7096709b155f97846230b68ca7997e9eba91f474731cf7ac68054,0.088324,true,
1780924175375447373,full,D,public,0x947af604e08b4278de287cc3df8be84b57f04444,,33206764512887044,10,468,0xf5f61d681a81062abd3edaf7294c5db30184429f364a776ad3edd1210455847e,0.086210,true,
1780924180424507150,full,TRAIL_be_locked,exit,0x947af604e08b4278de287cc3df8be84b57f04444,,0,3,470,0x971ee0a978a02227ad740109683e14857a183fda8587ab5ff591d44dfbf94740,0.050888,true,
1780940263949441557,full,D,public,0x4a5d434c48ac852d96a75472f9151a43da654444,,33109589462975104,10,471,0xe4f4155d2b6b1edda018af076f156f113e23e8fb5ddc717d2fc20da3520fa771,0.091715,true,
1780940295961269124,full,TRAIL_hard_sl,exit,0x4a5d434c48ac852d96a75472f9151a43da654444,,0,3,473,0xc88bd6e66829cdebf2a91e6e07f103a0c7c171a1581e47ebaac36970e3e11c6e,0.056490,true,
1780976756399356794,full,D,public,0x4a8e2a4952317660207aebc21cb4faf232da4444,,33426030137158260,10,474,0x6ea7bedb0c040820a8faaafc819f1d54959fefde65090cc5972360ccb451ac4f,0.075083,true,
1780976760520136149,full,TRAIL_be_locked,exit,0x4a8e2a4952317660207aebc21cb4faf232da4444,,0,3,476,0xdc51ff04ab30fa01c55c593f79bb4a673f3c4f2504605a7c4005aaf71da8d754,0.039541,true,
1780977821899497106,full,D,public,0x2f232c341166b43c7d51b01290bbde8cacdc4444,,33410835275200896,10,477,0x1a0b2bdf2d17b5e2273e364a3ecea12e1689992b22f387d770871c5c1afe6d53,0.080298,true,
1780977877341722048,full,TRAIL_hard_sl,exit,0x2f232c341166b43c7d51b01290bbde8cacdc4444,,0,3,479,0x7af0355c0ff162e21a7fc6a9b49f0a3cc1c9e29c77783da6021c2f09c7fa17c0,0.044772,true,
1780978263269870346,full,D,public,0x8a598d1bedb4c40220cb9a0b3b65cf6a46954444,,33371819482041676,10,480,0xee563611498d8cc90239ce15ff2340387cc8f2022c4c61c24d3ddd5fcc8527bd,0.067254,true,
1780978287985632286,full,D,public,0xde39a9c5817b205eed96f48e160ad83477314444,,33371819482041676,0,0,0x0000000000000000000000000000000000000000000000000000000000000000,0.031766,false,unknown_venue
1780978291157182879,full,TRAIL_signal_vote,exit,0x8a598d1bedb4c40220cb9a0b3b65cf6a46954444,,0,3,482,0xebb9b2c7068411d415e5e8c16063315e9fd2646c9d5ea62761cb6fefda7b6088,0.031766,true,
1780981592385105978,full,D,public,0x6b6bb3a02b131741f5706bdc3edf4dfcb1aa4444,,33224978418979408,10,483,0x488b484e5d0e60bfca8ad2284ecab344b2f50ee6ef5328ae02ca5a334354c580,0.117323,true,
1780983405907897679,full,TRAIL_timeout,exit,0x6b6bb3a02b131741f5706bdc3edf4dfcb1aa4444,,0,3,485,0xc7b223743150d2edf69ff8bb1e04274b7034a14e28ccee8b9f727ce87bfc9f51,0.081982,true,
1780987572083311547,full,D,public,0x6693bfe2b2911420273274ada16abda393b44444,,33111713185637624,10,486,0x4f104a5e0cb05661dd22230d5325c13772b99b20e0512d4efe056b51aee8008c,0.109404,true,
1780987741950968967,full,TRAIL_hard_sl,exit,0x6693bfe2b2911420273274ada16abda393b44444,,0,3,488,0x047527edb99d73231ee1abad0fbdb826812763db5b941b2552d8a94733759fc1,0.074177,true,
1780992969902276666,full,D,public,0x51676b51471d8d1337ceb2b488ce5485428b4444,,33191644683401708,10,489,0xfba522cd25f9996ebe8c1f446662ce67dcd18a4a06902b4cf6352297612bb602,0.096332,true,
1780992982299755533,full,TRAIL_hard_sl,exit,0x51676b51471d8d1337ceb2b488ce5485428b4444,,0,3,491,0x225b2ec904197740f70b376be8253d2ff8088bbdebdca955cda6c0364c19b419,0.061025,true,
1780998802323990432,full,D,public,0x893ff5aa38625656c5df55f98c2c8ffc86184444,,33343548719664412,10,492,0x2efbe27236ff1ea7b08b83bec8003fe7f445420bc954a211b82dc7f1bdd7dd3c,0.081892,true,
1781008475616872981,full,D,public,0x4570793856386a272da907d32029b0a129764444,,16757300065463040,10,496,0x448d8e6d1cc2042d3b3c69f519c0ec141f334fa26ba7599939a8fb80fc1137dd,0.086543,true,
